informant_id,CONJ,IC,STR/SL,ANSWER,cause_effect,context
2,and,non,sl,yes,,bias
2,so,ic2,str,no,cau,bias
2,so,ic2,sl,yes,cau,bias
2,and,non,sl,no,,bias
2,and,non,str,yes,,bias
2,and,non,str,yes,,bias
2,and,non,sl,no,,bias
2,so,ic2,str,yes,eff,bias
2,so,ic2,sl,no,eff,bias
2,so,ic1,sl,no,eff,bias
2,so,ic1,str,yes,eff,bias
2,if,ic2,str,yes,eff,bias
2,if,ic2,sl,no,eff,bias
2,so,ic1,sl,yes,cau,bias
2,so,ic1,str,no,cau,bias
2,if,non,str,yes,eff,bias
2,if,non,sl,no,eff,bias
2,if,non,sl,yes,eff,bias
2,if,non,str,no,eff,bias
2,and,ic1,sl,no,,bias
2,and,ic1,str,yes,,bias
2,if,non,str,no,eff,bias
2,if,non,sl,yes,eff,bias
2,so,ic1,sl,no,eff,bias
2,so,ic1,str,yes,eff,bias
2,so,ic2,sl,yes,eff,bias
2,so,ic2,str,no,eff,bias
2,and,ic2,sl,yes,,bias
2,and,ic2,str,no,,bias
2,and,ic2,str,yes,,bias
2,and,ic2,sl,no,,bias
2,if,ic2,str,no,eff,bias
2,if,ic2,sl,yes,eff,bias
2,and,ic1,sl,yes,,bias
2,and,ic1,str,no,,bias
2,so,ic2,str,yes,cau,bias
2,so,ic2,sl,no,cau,bias
2,if,ic2,sl,yes,eff,bias
2,if,ic2,str,no,eff,bias
2,so,ic1,sl,yes,cau,bias
2,so,ic1,str,no,cau,bias
2,and,ic2,str,yes,,bias
2,and,ic2,sl,no,,bias
2,if,non,str,no,eff,bias
2,if,non,sl,yes,eff,bias
2,if,ic1,str,no,eff,bias
2,if,ic1,sl,yes,eff,bias
2,if,ic2,sl,no,eff,bias
2,if,ic2,str,yes,eff,bias
2,if,ic1,sl,yes,eff,bias
2,if,ic1,str,no,eff,bias
2,if,ic1,str,yes,eff,bias
2,if,ic1,sl,no,eff,bias
2,so,non,str,no,cau,bias
2,so,non,sl,yes,cau,bias
2,if,ic1,sl,yes,eff,bias
2,if,ic1,str,no,eff,bias
2,and,non,sl,yes,,bias
2,and,non,str,no,,bias
2,so,non,sl,no,eff,bias
2,so,non,str,yes,eff,bias
2,so,non,sl,yes,eff,bias
2,so,non,str,no,eff,bias
3,and,ic1,sl,yes,,bias
3,and,ic1,str,no,,bias
3,so,non,str,no,cau,bias
3,so,non,sl,yes,cau,bias
3,and,ic1,sl,yes,,bias
3,and,ic1,str,no,,bias
3,and,ic2,str,no,,bias
3,and,ic2,sl,no,,bias
3,and,non,str,no,,bias
3,and,non,sl,yes,,bias
3,so,ic2,str,no,cau,bias
3,so,ic2,sl,no,cau,bias
3,and,non,sl,yes,,bias
3,and,non,str,no,,bias
3,and,non,str,no,,bias
3,and,non,sl,yes,,bias
3,so,ic2,str,no,eff,bias
3,so,ic2,sl,no,eff,bias
3,so,ic1,sl,no,eff,bias
3,so,ic1,str,no,eff,bias
3,if,ic2,str,no,eff,bias
3,if,ic2,sl,yes,eff,bias
3,so,ic1,sl,no,cau,bias
3,so,ic1,str,no,cau,bias
3,if,non,str,no,eff,bias
3,if,non,sl,no,eff,bias
3,if,non,sl,no,eff,bias
3,if,non,str,no,eff,bias
3,and,ic1,sl,yes,,bias
3,and,ic1,str,no,,bias
3,if,non,str,no,eff,bias
3,if,non,sl,yes,eff,bias
3,so,ic1,sl,no,eff,bias
3,so,ic1,str,no,eff,bias
3,so,ic2,sl,no,eff,bias
3,so,ic2,str,no,eff,bias
3,and,ic2,sl,yes,,bias
3,and,ic2,str,no,,bias
3,and,ic2,str,no,,bias
3,and,ic2,sl,yes,,bias
3,if,ic2,str,no,eff,bias
3,if,ic2,sl,yes,eff,bias
3,and,ic1,sl,yes,,bias
3,and,ic1,str,no,,bias
3,so,ic2,str,no,cau,bias
3,so,ic2,sl,no,cau,bias
3,if,ic2,sl,no,eff,bias
3,if,ic2,str,no,eff,bias
3,so,ic1,sl,no,cau,bias
3,so,ic1,str,no,cau,bias
3,and,ic2,str,no,,bias
3,and,ic2,sl,no,,bias
3,if,non,str,no,eff,bias
3,if,non,sl,no,eff,bias
3,if,ic1,str,no,eff,bias
3,if,ic1,sl,no,eff,bias
3,if,ic2,sl,no,eff,bias
3,if,ic2,str,no,eff,bias
3,if,ic1,sl,no,eff,bias
3,if,ic1,str,no,eff,bias
3,if,ic1,str,no,eff,bias
3,if,ic1,sl,no,eff,bias
3,so,non,str,no,cau,bias
3,so,non,sl,no,cau,bias
3,if,ic1,sl,no,eff,bias
3,if,ic1,str,no,eff,bias
3,and,non,sl,yes,,bias
3,and,non,str,no,,bias
3,so,non,sl,no,eff,bias
3,so,non,str,no,eff,bias
3,so,non,sl,no,eff,bias
3,so,non,str,no,eff,bias
4,and,ic1,sl,yes,,bias
4,and,ic1,str,no,,bias
4,so,non,str,no,cau,bias
4,so,non,sl,yes,cau,bias
4,and,ic1,sl,no,,bias
4,and,ic1,str,yes,,bias
4,and,ic2,str,yes,,bias
4,and,ic2,sl,no,,bias
4,and,non,str,no,,bias
4,and,non,sl,yes,,bias
4,so,ic2,str,yes,cau,bias
4,so,ic2,sl,no,cau,bias
4,and,non,sl,yes,,bias
4,and,non,str,no,,bias
4,and,non,str,yes,,bias
4,and,non,sl,no,,bias
4,so,ic2,str,no,eff,bias
4,so,ic2,sl,yes,eff,bias
4,so,ic1,sl,yes,eff,bias
4,so,ic1,str,no,eff,bias
4,if,ic2,str,no,eff,bias
4,if,ic2,sl,yes,eff,bias
4,so,ic1,sl,yes,cau,bias
4,so,ic1,str,no,cau,bias
4,if,non,str,yes,eff,bias
4,if,non,sl,no,eff,bias
4,if,non,sl,yes,eff,bias
4,if,non,str,no,eff,bias
4,and,ic1,sl,yes,,bias
4,and,ic1,str,no,,bias
4,if,non,str,no,eff,bias
4,if,non,sl,yes,eff,bias
4,so,ic1,sl,yes,eff,bias
4,so,ic1,str,no,eff,bias
4,so,ic2,sl,no,eff,bias
4,so,ic2,str,yes,eff,bias
4,and,ic2,sl,yes,,bias
4,and,ic2,str,no,,bias
4,and,ic2,str,yes,,bias
4,and,ic2,sl,no,,bias
4,if,ic2,str,yes,eff,bias
4,if,ic2,sl,no,eff,bias
4,and,ic1,sl,yes,,bias
4,and,ic1,str,no,,bias
4,so,ic2,str,no,cau,bias
4,so,ic2,sl,yes,cau,bias
4,if,ic2,sl,no,eff,bias
4,if,ic2,str,yes,eff,bias
4,so,ic1,sl,no,cau,bias
4,so,ic1,str,yes,cau,bias
4,and,ic2,str,yes,,bias
4,and,ic2,sl,no,,bias
4,if,non,str,no,eff,bias
4,if,non,sl,yes,eff,bias
4,if,ic1,str,yes,eff,bias
4,if,ic1,sl,yes,eff,bias
4,if,ic2,sl,no,eff,bias
4,if,ic2,str,yes,eff,bias
4,if,ic1,sl,yes,eff,bias
4,if,ic1,str,yes,eff,bias
4,if,ic1,str,yes,eff,bias
4,if,ic1,sl,no,eff,bias
4,so,non,str,no,cau,bias
4,so,non,sl,yes,cau,bias
4,if,ic1,sl,yes,eff,bias
4,if,ic1,str,no,eff,bias
4,and,non,sl,yes,,bias
4,and,non,str,no,,bias
4,so,non,sl,no,eff,bias
4,so,non,str,yes,eff,bias
4,so,non,sl,yes,eff,bias
4,so,non,str,no,eff,bias
5,and,ic1,sl,yes,,bias
5,and,ic1,str,no,,bias
5,so,non,str,no,cau,bias
5,so,non,sl,yes,cau,bias
5,and,ic1,sl,yes,,bias
5,and,ic1,str,yes,,bias
5,and,ic2,str,no,,bias
5,and,ic2,sl,yes,,bias
5,and,non,str,no,,bias
5,and,non,sl,yes,,bias
5,so,ic2,str,no,cau,bias
5,so,ic2,sl,no,cau,bias
5,and,non,sl,yes,,bias
5,and,non,str,no,,bias
5,and,non,str,yes,,bias
5,and,non,sl,no,,bias
5,so,ic2,str,no,eff,bias
5,so,ic2,sl,yes,eff,bias
5,so,ic1,sl,yes,eff,bias
5,so,ic1,str,no,eff,bias
5,if,ic2,str,yes,eff,bias
5,if,ic2,sl,yes,eff,bias
5,so,ic1,sl,yes,cau,bias
5,so,ic1,str,no,cau,bias
5,if,non,str,yes,eff,bias
5,if,non,sl,no,eff,bias
5,if,non,sl,yes,eff,bias
5,if,non,str,no,eff,bias
5,and,ic1,sl,yes,,bias
5,and,ic1,str,no,,bias
5,if,non,str,yes,eff,bias
5,if,non,sl,no,eff,bias
5,so,ic1,sl,no,eff,bias
5,so,ic1,str,no,eff,bias
5,so,ic2,sl,no,eff,bias
5,so,ic2,str,no,eff,bias
5,and,ic2,sl,yes,,bias
5,and,ic2,str,yes,,bias
5,and,ic2,str,yes,,bias
5,and,ic2,sl,no,,bias
5,if,ic2,str,no,eff,bias
5,if,ic2,sl,no,eff,bias
5,and,ic1,sl,yes,,bias
5,and,ic1,str,no,,bias
5,so,ic2,str,yes,cau,bias
5,so,ic2,sl,no,cau,bias
5,if,ic2,sl,no,eff,bias
5,if,ic2,str,no,eff,bias
5,so,ic1,sl,yes,cau,bias
5,so,ic1,str,no,cau,bias
5,and,ic2,str,no,,bias
5,and,ic2,sl,no,,bias
5,if,non,str,no,eff,bias
5,if,non,sl,yes,eff,bias
5,if,ic1,str,no,eff,bias
5,if,ic1,sl,yes,eff,bias
5,if,ic2,sl,yes,eff,bias
5,if,ic2,str,no,eff,bias
5,if,ic1,sl,no,eff,bias
5,if,ic1,str,yes,eff,bias
5,if,ic1,str,yes,eff,bias
5,if,ic1,sl,no,eff,bias
5,so,non,str,no,cau,bias
5,so,non,sl,no,cau,bias
5,if,ic1,sl,yes,eff,bias
5,if,ic1,str,yes,eff,bias
5,and,non,sl,yes,,bias
5,and,non,str,no,,bias
5,so,non,sl,no,eff,bias
5,so,non,str,yes,eff,bias
5,so,non,sl,yes,eff,bias
5,so,non,str,no,eff,bias
6,and,ic1,sl,yes,,bias
6,and,ic1,str,no,,bias
6,so,non,str,no,cau,bias
6,so,non,sl,yes,cau,bias
6,and,ic1,sl,no,,bias
6,and,ic1,str,yes,,bias
6,and,ic2,str,yes,,bias
6,and,ic2,sl,no,,bias
6,and,non,str,no,,bias
6,and,non,sl,yes,,bias
6,so,ic2,str,yes,cau,bias
6,so,ic2,sl,no,cau,bias
6,and,non,sl,yes,,bias
6,and,non,str,no,,bias
6,and,non,str,yes,,bias
6,and,non,sl,yes,,bias
6,so,ic2,str,yes,eff,bias
6,so,ic2,sl,no,eff,bias
6,so,ic1,sl,no,eff,bias
6,so,ic1,str,yes,eff,bias
6,if,ic2,str,yes,eff,bias
6,if,ic2,sl,no,eff,bias
6,so,ic1,sl,yes,cau,bias
6,so,ic1,str,no,cau,bias
6,if,non,str,yes,eff,bias
6,if,non,sl,no,eff,bias
6,if,non,sl,yes,eff,bias
6,if,non,str,no,eff,bias
6,and,ic1,sl,yes,,bias
6,and,ic1,str,yes,,bias
6,if,non,str,no,eff,bias
6,if,non,sl,yes,eff,bias
6,so,ic1,sl,yes,eff,bias
6,so,ic1,str,no,eff,bias
6,so,ic2,sl,no,eff,bias
6,so,ic2,str,yes,eff,bias
6,and,ic1,sl,yes,,bias
6,and,ic1,str,no,,bias
6,so,non,str,no,cau,bias
6,so,non,sl,yes,cau,bias
6,and,ic1,sl,yes,,bias
6,and,ic1,str,no,,bias
6,and,ic2,str,yes,,bias
6,and,ic2,sl,no,,bias
6,and,non,str,no,,bias
6,and,non,sl,yes,,bias
6,so,ic2,str,no,cau,bias
6,so,ic2,sl,yes,cau,bias
6,and,non,sl,yes,,bias
6,and,non,str,no,,bias
6,and,non,str,no,,bias
6,and,non,sl,yes,,bias
6,so,ic2,str,yes,eff,bias
6,so,ic2,sl,no,eff,bias
6,so,ic1,sl,yes,eff,bias
6,so,ic1,str,no,eff,bias
6,if,ic2,str,no,eff,bias
6,if,ic2,sl,yes,eff,bias
6,so,ic1,sl,yes,cau,bias
6,so,ic1,str,no,cau,bias
6,if,non,str,yes,eff,bias
6,if,non,sl,no,eff,bias
6,if,non,sl,yes,eff,bias
6,if,non,str,no,eff,bias
6,and,ic1,sl,yes,,bias
6,and,ic1,str,no,,bias
6,if,non,str,no,eff,bias
6,if,non,sl,yes,eff,bias
6,so,ic1,sl,no,eff,bias
6,so,ic1,str,yes,eff,bias
6,so,ic2,sl,yes,eff,bias
6,so,ic2,str,no,eff,bias
8,and,ic1,sl,yes,,bias
8,and,ic1,str,no,,bias
8,so,non,str,no,cau,bias
8,so,non,sl,yes,cau,bias
8,and,ic1,sl,yes,,bias
8,and,ic1,str,yes,,bias
8,and,ic2,str,no,,bias
8,and,ic2,sl,yes,,bias
8,and,non,str,no,,bias
8,and,non,sl,yes,,bias
8,so,ic2,str,yes,cau,bias
8,so,ic2,sl,no,cau,bias
8,and,non,sl,yes,,bias
8,and,non,str,yes,,bias
8,and,non,str,yes,,bias
8,and,non,sl,yes,,bias
8,so,ic2,str,no,eff,bias
8,so,ic2,sl,yes,eff,bias
8,so,ic1,sl,yes,eff,bias
8,so,ic1,str,no,eff,bias
8,if,ic2,str,no,eff,bias
8,if,ic2,sl,yes,eff,bias
8,so,ic1,sl,yes,cau,bias
8,so,ic1,str,yes,cau,bias
8,if,non,str,yes,eff,bias
8,if,non,sl,yes,eff,bias
8,if,non,sl,yes,eff,bias
8,if,non,str,yes,eff,bias
8,and,ic1,sl,yes,,bias
8,and,ic1,str,yes,,bias
8,if,non,str,yes,eff,bias
8,if,non,sl,yes,eff,bias
8,so,ic1,sl,yes,eff,bias
8,so,ic1,str,yes,eff,bias
8,so,ic2,sl,yes,eff,bias
8,so,ic2,str,no,eff,bias
8,and,ic1,sl,yes,,bias
8,and,ic1,str,no,,bias
8,so,non,str,yes,cau,bias
8,so,non,sl,no,cau,bias
8,and,ic1,sl,no,,bias
8,and,ic1,str,yes,,bias
8,and,ic2,str,no,,bias
8,and,ic2,sl,yes,,bias
8,and,non,str,no,,bias
8,and,non,sl,yes,,bias
8,so,ic2,str,no,cau,bias
8,so,ic2,sl,yes,cau,bias
8,and,non,sl,yes,,bias
8,and,non,str,no,,bias
8,and,non,str,no,,bias
8,and,non,sl,yes,,bias
8,so,ic2,str,no,eff,bias
8,so,ic2,sl,yes,eff,bias
8,so,ic1,sl,no,eff,bias
8,so,ic1,str,no,eff,bias
8,if,ic2,str,no,eff,bias
8,if,ic2,sl,yes,eff,bias
8,so,ic1,sl,yes,cau,bias
8,so,ic1,str,no,cau,bias
8,if,non,str,no,eff,bias
8,if,non,sl,yes,eff,bias
8,if,non,sl,yes,eff,bias
8,if,non,str,no,eff,bias
8,and,ic1,sl,yes,,bias
8,and,ic1,str,no,,bias
8,if,non,str,yes,eff,bias
8,if,non,sl,no,eff,bias
8,so,ic1,sl,yes,eff,bias
8,so,ic1,str,no,eff,bias
8,so,ic2,sl,yes,eff,bias
8,so,ic2,str,no,eff,bias
10,and,ic1,sl,no,,bias
10,and,ic1,str,no,,bias
10,so,non,str,no,cau,bias
10,so,non,sl,yes,cau,bias
10,and,ic1,sl,no,,bias
10,and,ic1,str,yes,,bias
10,and,ic2,str,yes,,bias
10,and,ic2,sl,no,,bias
10,and,non,str,no,,bias
10,and,non,sl,yes,,bias
10,so,ic2,str,yes,cau,bias
10,so,ic2,sl,no,cau,bias
10,and,non,sl,yes,,bias
10,and,non,str,no,,bias
10,and,non,str,yes,,bias
10,and,non,sl,yes,,bias
10,so,ic2,str,yes,eff,bias
10,so,ic2,sl,no,eff,bias
10,so,ic1,sl,yes,eff,bias
10,so,ic1,str,no,eff,bias
10,if,ic2,str,yes,eff,bias
10,if,ic2,sl,yes,eff,bias
10,so,ic1,sl,yes,cau,bias
10,so,ic1,str,no,cau,bias
10,if,non,str,yes,eff,bias
10,if,non,sl,yes,eff,bias
10,if,non,sl,yes,eff,bias
10,if,non,str,no,eff,bias
10,and,ic1,sl,yes,,bias
10,and,ic1,str,no,,bias
10,if,non,str,no,eff,bias
10,if,non,sl,yes,eff,bias
10,so,ic1,sl,no,eff,bias
10,so,ic1,str,no,eff,bias
10,so,ic2,sl,no,eff,bias
10,so,ic2,str,yes,eff,bias
10,and,ic1,sl,yes,,bias
10,and,ic1,str,no,,bias
10,so,non,str,no,cau,bias
10,so,non,sl,yes,cau,bias
10,and,ic1,sl,yes,,bias
10,and,ic1,str,no,,bias
10,and,ic2,str,no,,bias
10,and,ic2,sl,yes,,bias
10,and,non,str,no,,bias
10,and,non,sl,yes,,bias
10,so,ic2,str,no,cau,bias
10,so,ic2,sl,yes,cau,bias
10,and,non,sl,yes,,bias
10,and,non,str,no,,bias
10,and,non,str,yes,,bias
10,and,non,sl,no,,bias
10,so,ic2,str,no,eff,bias
10,so,ic2,sl,yes,eff,bias
10,so,ic1,sl,yes,eff,bias
10,so,ic1,str,no,eff,bias
10,if,ic2,str,no,eff,bias
10,if,ic2,sl,yes,eff,bias
10,so,ic1,sl,yes,cau,bias
10,so,ic1,str,no,cau,bias
10,if,non,str,no,eff,bias
10,if,non,sl,yes,eff,bias
10,if,non,sl,yes,eff,bias
10,if,non,str,no,eff,bias
10,and,ic1,sl,yes,,bias
10,and,ic1,str,no,,bias
10,if,non,str,yes,eff,bias
10,if,non,sl,yes,eff,bias
10,so,ic1,sl,yes,eff,bias
10,so,ic1,str,no,eff,bias
10,so,ic2,sl,yes,eff,bias
10,so,ic2,str,no,eff,bias
12,and,ic1,sl,no,,bias
12,and,ic1,str,yes,,bias
12,so,non,str,no,cau,bias
12,so,non,sl,yes,cau,bias
12,and,ic1,sl,yes,,bias
12,and,ic1,str,no,,bias
12,and,ic2,str,no,,bias
12,and,ic2,sl,yes,,bias
12,and,non,str,no,,bias
12,and,non,sl,yes,,bias
12,so,ic2,str,yes,cau,bias
12,so,ic2,sl,no,cau,bias
12,and,non,sl,yes,,bias
12,and,non,str,no,,bias
12,and,non,str,yes,,bias
12,and,non,sl,no,,bias
12,so,ic2,str,yes,eff,bias
12,so,ic2,sl,no,eff,bias
12,so,ic1,sl,yes,eff,bias
12,so,ic1,str,no,eff,bias
12,if,ic2,str,no,eff,bias
12,if,ic2,sl,yes,eff,bias
12,so,ic1,sl,yes,cau,bias
12,so,ic1,str,no,cau,bias
12,if,non,str,yes,eff,bias
12,if,non,sl,no,eff,bias
12,if,non,sl,yes,eff,bias
12,if,non,str,no,eff,bias
12,and,ic1,sl,yes,,bias
12,and,ic1,str,no,,bias
12,if,non,str,no,eff,bias
12,if,non,sl,yes,eff,bias
12,so,ic1,sl,yes,eff,bias
12,so,ic1,str,no,eff,bias
12,so,ic2,sl,yes,eff,bias
12,so,ic2,str,yes,eff,bias
12,and,ic1,sl,yes,,bias
12,and,ic1,str,no,,bias
12,so,non,str,no,cau,bias
12,so,non,sl,yes,cau,bias
12,and,ic1,sl,yes,,bias
12,and,ic1,str,no,,bias
12,and,ic2,str,no,,bias
12,and,ic2,sl,yes,,bias
12,and,non,str,no,,bias
12,and,non,sl,yes,,bias
12,so,ic2,str,no,cau,bias
12,so,ic2,sl,no,cau,bias
12,and,non,sl,no,,bias
12,and,non,str,yes,,bias
12,and,non,str,no,,bias
12,and,non,sl,yes,,bias
12,so,ic2,str,yes,eff,bias
12,so,ic2,sl,no,eff,bias
12,so,ic1,sl,yes,eff,bias
12,so,ic1,str,no,eff,bias
12,if,ic2,str,no,eff,bias
12,if,ic2,sl,yes,eff,bias
12,so,ic1,sl,no,cau,bias
12,so,ic1,str,yes,cau,bias
12,if,non,str,yes,eff,bias
12,if,non,sl,no,eff,bias
12,if,non,sl,yes,eff,bias
12,if,non,str,no,eff,bias
12,and,ic1,sl,no,,bias
12,and,ic1,str,yes,,bias
12,if,non,str,yes,eff,bias
12,if,non,sl,no,eff,bias
12,so,ic1,sl,yes,eff,bias
12,so,ic1,str,no,eff,bias
12,so,ic2,sl,yes,eff,bias
12,so,ic2,str,no,eff,bias
14,and,ic1,sl,yes,,bias
14,and,ic1,str,no,,bias
14,so,non,str,no,cau,bias
14,so,non,sl,yes,cau,bias
14,and,ic1,sl,yes,,bias
14,and,ic1,str,no,,bias
14,and,ic2,str,yes,,bias
14,and,ic2,sl,no,,bias
14,and,non,str,no,,bias
14,and,non,sl,yes,,bias
14,so,ic2,str,no,cau,bias
14,so,ic2,sl,yes,cau,bias
14,and,non,sl,no,,bias
14,and,non,str,yes,,bias
14,and,non,str,yes,,bias
14,and,non,sl,no,,bias
14,so,ic2,str,no,eff,bias
14,so,ic2,sl,yes,eff,bias
14,so,ic1,sl,yes,eff,bias
14,so,ic1,str,no,eff,bias
14,if,ic2,str,no,eff,bias
14,if,ic2,sl,yes,eff,bias
14,so,ic1,sl,yes,cau,bias
14,so,ic1,str,no,cau,bias
14,if,non,str,no,eff,bias
14,if,non,sl,yes,eff,bias
14,if,non,sl,yes,eff,bias
14,if,non,str,no,eff,bias
14,and,ic1,sl,yes,,bias
14,and,ic1,str,no,,bias
14,if,non,str,yes,eff,bias
14,if,non,sl,no,eff,bias
14,so,ic1,sl,no,eff,bias
14,so,ic1,str,no,eff,bias
14,so,ic2,sl,no,eff,bias
14,so,ic2,str,yes,eff,bias
14,and,ic1,sl,no,,bias
14,and,ic1,str,yes,,bias
14,so,non,str,yes,cau,bias
14,so,non,sl,no,cau,bias
14,and,ic1,sl,no,,bias
14,and,ic1,str,yes,,bias
14,and,ic2,str,yes,,bias
14,and,ic2,sl,no,,bias
14,and,non,str,yes,,bias
14,and,non,sl,no,,bias
14,so,ic2,str,yes,cau,bias
14,so,ic2,sl,no,cau,bias
14,and,non,sl,no,,bias
14,and,non,str,yes,,bias
14,and,non,str,no,,bias
14,and,non,sl,yes,,bias
14,so,ic2,str,no,eff,bias
14,so,ic2,sl,yes,eff,bias
14,so,ic1,sl,yes,eff,bias
14,so,ic1,str,no,eff,bias
14,if,ic2,str,no,eff,bias
14,if,ic2,sl,yes,eff,bias
14,so,ic1,sl,yes,cau,bias
14,so,ic1,str,no,cau,bias
14,if,non,str,no,eff,bias
14,if,non,sl,yes,eff,bias
14,if,non,sl,yes,eff,bias
14,if,non,str,no,eff,bias
14,and,ic1,sl,yes,,bias
14,and,ic1,str,no,,bias
14,if,non,str,yes,eff,bias
14,if,non,sl,no,eff,bias
14,so,ic1,sl,no,eff,bias
14,so,ic1,str,yes,eff,bias
14,so,ic2,sl,yes,eff,bias
14,so,ic2,str,no,eff,bias
16,and,ic1,sl,no,,bias
16,and,ic1,str,no,,bias
16,so,non,str,no,cau,bias
16,so,non,sl,yes,cau,bias
16,and,ic1,sl,no,,bias
16,and,ic1,str,yes,,bias
16,and,ic2,str,yes,,bias
16,and,ic2,sl,yes,,bias
16,and,non,str,no,,bias
16,and,non,sl,yes,,bias
16,so,ic2,str,no,cau,bias
16,so,ic2,sl,no,cau,bias
16,and,non,sl,no,,bias
16,and,non,str,yes,,bias
16,and,non,str,no,,bias
16,and,non,sl,yes,,bias
16,so,ic2,str,yes,eff,bias
16,so,ic2,sl,no,eff,bias
16,so,ic1,sl,no,eff,bias
16,so,ic1,str,no,eff,bias
16,if,ic2,str,yes,eff,bias
16,if,ic2,sl,no,eff,bias
16,so,ic1,sl,no,cau,bias
16,so,ic1,str,yes,cau,bias
16,if,non,str,yes,eff,bias
16,if,non,sl,yes,eff,bias
16,if,non,sl,no,eff,bias
16,if,non,str,yes,eff,bias
16,and,ic1,sl,yes,,bias
16,and,ic1,str,yes,,bias
16,if,non,str,no,eff,bias
16,if,non,sl,yes,eff,bias
16,so,ic1,sl,no,eff,bias
16,so,ic1,str,yes,eff,bias
16,so,ic2,sl,no,eff,bias
16,so,ic2,str,yes,eff,bias
16,and,ic1,sl,no,,bias
16,and,ic1,str,yes,,bias
16,so,non,str,no,cau,bias
16,so,non,sl,yes,cau,bias
16,and,ic1,sl,no,,bias
16,and,ic1,str,no,,bias
16,and,ic2,str,yes,,bias
16,and,ic2,sl,yes,,bias
16,and,non,str,yes,,bias
16,and,non,sl,yes,,bias
16,so,ic2,str,yes,cau,bias
16,so,ic2,sl,no,cau,bias
16,and,non,sl,no,,bias
16,and,non,str,no,,bias
16,and,non,str,yes,,bias
16,and,non,sl,yes,,bias
16,so,ic2,str,no,eff,bias
16,so,ic2,sl,yes,eff,bias
16,so,ic1,sl,yes,eff,bias
16,so,ic1,str,no,eff,bias
16,if,ic2,str,no,eff,bias
16,if,ic2,sl,yes,eff,bias
16,so,ic1,sl,yes,cau,bias
16,so,ic1,str,yes,cau,bias
16,if,non,str,no,eff,bias
16,if,non,sl,yes,eff,bias
16,if,non,sl,yes,eff,bias
16,if,non,str,yes,eff,bias
16,and,ic1,sl,no,,bias
16,and,ic1,str,yes,,bias
16,if,non,str,no,eff,bias
16,if,non,sl,yes,eff,bias
16,so,ic1,sl,no,eff,bias
16,so,ic1,str,yes,eff,bias
16,so,ic2,sl,yes,eff,bias
16,so,ic2,str,no,eff,bias
18,and,ic1,sl,no,,bias
18,and,ic1,str,no,,bias
