,informant_id,CONJ,IC,STR/SL,cause_effect,ANSWER,context
68,221,and,ic2,str,,yes,no_bias
69,221,and,ic2,sl,,no,no_bias
70,221,if,non,str,eff,no,no_bias
71,221,if,non,sl,eff,yes,no_bias
72,222,if,ic2,sl,eff,no,no_bias
73,222,if,ic2,str,eff,yes,no_bias
74,222,so,ic1,str,eff,yes,no_bias
75,222,so,ic1,sl,eff,no,no_bias
76,222,and,non,sl,,yes,no_bias
77,222,and,non,str,,no,no_bias
78,222,and,ic1,sl,,yes,no_bias
79,222,and,ic1,str,,no,no_bias
80,222,so,ic2,str,eff,yes,no_bias
81,222,so,ic2,sl,eff,no,no_bias
82,222,and,non,sl,,yes,no_bias
83,222,and,non,str,,no,no_bias
84,222,if,ic1,str,eff,yes,no_bias
85,222,if,ic1,sl,eff,yes,no_bias
86,222,and,ic1,str,,no,no_bias
87,222,and,ic1,sl,,yes,no_bias
88,222,so,non,sl,cau,yes,no_bias
89,222,so,non,str,cau,no,no_bias
90,222,if,non,sl,eff,yes,no_bias
91,222,if,non,str,eff,yes,no_bias
92,222,if,non,str,eff,no,no_bias
93,222,if,non,sl,eff,yes,no_bias
94,222,and,non,sl,,yes,no_bias
95,222,and,non,str,,yes,no_bias
96,222,so,non,str,eff,no,no_bias
97,222,so,non,sl,eff,yes,no_bias
98,222,if,ic1,str,eff,no,no_bias
99,222,if,ic1,sl,eff,yes,no_bias
100,222,so,ic2,str,cau,yes,no_bias
101,222,so,ic2,sl,cau,yes,no_bias
102,222,so,ic1,str,cau,yes,no_bias
103,222,so,ic1,sl,cau,no,no_bias
104,222,if,ic1,sl,eff,yes,no_bias
105,222,if,ic1,str,eff,no,no_bias
106,222,and,non,sl,,yes,no_bias
107,222,and,non,str,,yes,no_bias
108,222,so,ic2,str,eff,yes,no_bias
109,222,so,ic2,sl,eff,no,no_bias
110,222,and,ic2,str,,yes,no_bias
111,222,and,ic2,sl,,yes,no_bias
112,222,so,ic2,sl,cau,yes,no_bias
113,222,so,ic2,str,cau,yes,no_bias
114,222,and,ic1,str,,yes,no_bias
115,222,and,ic1,sl,,yes,no_bias
116,222,and,ic2,sl,,yes,no_bias
117,222,and,ic2,str,,yes,no_bias
118,222,if,ic2,sl,eff,yes,no_bias
119,222,if,ic2,str,eff,yes,no_bias
120,222,if,ic1,str,eff,yes,no_bias
121,222,if,ic1,sl,eff,yes,no_bias
122,222,so,non,sl,cau,yes,no_bias
123,222,so,non,str,cau,no,no_bias
124,222,so,non,sl,eff,yes,no_bias
125,222,so,non,str,eff,no,no_bias
126,222,so,ic1,str,cau,no,no_bias
127,222,so,ic1,sl,cau,yes,no_bias
128,222,if,ic2,sl,eff,yes,no_bias
129,222,if,ic2,str,eff,yes,no_bias
130,222,if,ic2,sl,eff,no,no_bias
131,222,if,ic2,str,eff,yes,no_bias
132,222,and,ic2,str,,yes,no_bias
133,222,and,ic2,sl,,yes,no_bias
134,222,so,ic1,sl,cau,yes,no_bias
135,222,so,ic1,str,cau,yes,no_bias
136,222,if,non,str,eff,no,no_bias
137,222,if,non,sl,eff,yes,no_bias
138,222,and,ic1,sl,,yes,no_bias
139,222,and,ic1,str,,yes,no_bias
140,222,and,ic2,str,,yes,no_bias
141,222,and,ic2,sl,,yes,no_bias
142,222,if,non,str,eff,yes,no_bias
143,222,if,non,sl,eff,yes,no_bias
144,223,if,ic2,sl,eff,yes,no_bias
145,223,if,ic2,str,eff,no,no_bias
146,223,so,ic1,str,eff,yes,no_bias
147,223,so,ic1,sl,eff,no,no_bias
148,223,and,non,sl,,yes,no_bias
149,223,and,non,str,,no,no_bias
150,223,and,ic1,sl,,yes,no_bias
151,223,and,ic1,str,,no,no_bias
152,223,so,ic2,str,eff,yes,no_bias
153,223,so,ic2,sl,eff,no,no_bias
154,223,and,non,sl,,yes,no_bias
155,223,and,non,str,,no,no_bias
156,223,if,ic1,str,eff,no,no_bias
157,223,if,ic1,sl,eff,yes,no_bias
158,223,and,ic1,str,,no,no_bias
159,223,and,ic1,sl,,yes,no_bias
160,223,so,non,sl,cau,yes,no_bias
161,223,so,non,str,cau,no,no_bias
162,223,if,non,sl,eff,yes,no_bias
163,223,if,non,str,eff,no,no_bias
164,223,if,non,str,eff,no,no_bias
165,223,if,non,sl,eff,yes,no_bias
166,223,and,non,sl,,yes,no_bias
167,223,and,non,str,,no,no_bias
168,223,so,non,str,eff,no,no_bias
169,223,so,non,sl,eff,yes,no_bias
170,223,if,ic1,str,eff,yes,no_bias
171,223,if,ic1,sl,eff,no,no_bias
172,223,so,ic2,str,cau,yes,no_bias
173,223,so,ic2,sl,cau,no,no_bias
174,223,so,ic1,str,cau,no,no_bias
175,223,so,ic1,sl,cau,yes,no_bias
176,223,if,ic1,sl,eff,yes,no_bias
177,223,if,ic1,str,eff,no,no_bias
178,223,and,non,sl,,yes,no_bias
179,223,and,non,str,,no,no_bias
180,223,so,ic2,str,eff,no,no_bias
181,223,so,ic2,sl,eff,yes,no_bias
182,223,and,ic2,str,,no,no_bias
183,223,and,ic2,sl,,yes,no_bias
184,223,so,ic2,sl,cau,yes,no_bias
185,223,so,ic2,str,cau,no,no_bias
186,223,and,ic1,str,,no,no_bias
187,223,and,ic1,sl,,yes,no_bias
188,223,and,ic2,sl,,yes,no_bias
189,223,and,ic2,str,,no,no_bias
190,223,if,ic2,sl,eff,yes,no_bias
191,223,if,ic2,str,eff,no,no_bias
192,223,if,ic1,str,eff,no,no_bias
193,223,if,ic1,sl,eff,yes,no_bias
194,223,so,non,sl,cau,yes,no_bias
195,223,so,non,str,cau,no,no_bias
196,223,so,non,sl,eff,yes,no_bias
197,223,so,non,str,eff,no,no_bias
198,223,so,ic1,str,cau,no,no_bias
199,223,so,ic1,sl,cau,yes,no_bias
200,223,if,ic2,sl,eff,yes,no_bias
201,223,if,ic2,str,eff,no,no_bias
202,223,if,ic2,sl,eff,yes,no_bias
203,223,if,ic2,str,eff,no,no_bias
204,223,and,ic2,str,,no,no_bias
205,223,and,ic2,sl,,yes,no_bias
206,223,so,ic1,sl,cau,yes,no_bias
207,223,so,ic1,str,cau,no,no_bias
208,223,if,non,str,eff,no,no_bias
209,223,if,non,sl,eff,yes,no_bias
210,223,and,ic1,sl,,yes,no_bias
211,223,and,ic1,str,,no,no_bias
212,223,and,ic2,str,,yes,no_bias
213,223,and,ic2,sl,,yes,no_bias
214,223,if,non,str,eff,yes,no_bias
215,223,if,non,sl,eff,yes,no_bias
216,224,if,ic2,sl,eff,yes,no_bias
217,224,if,ic2,str,eff,yes,no_bias
218,224,so,ic1,str,eff,yes,no_bias
219,224,so,ic1,sl,eff,yes,no_bias
220,224,and,non,sl,,yes,no_bias
221,224,and,non,str,,no,no_bias
222,224,and,ic1,sl,,yes,no_bias
223,224,and,ic1,str,,no,no_bias
224,224,so,ic2,str,eff,no,no_bias
225,224,so,ic2,sl,eff,yes,no_bias
226,224,and,non,sl,,no,no_bias
227,224,and,non,str,,yes,no_bias
228,224,if,ic1,str,eff,no,no_bias
229,224,if,ic1,sl,eff,yes,no_bias
230,224,and,ic1,str,,no,no_bias
231,224,and,ic1,sl,,yes,no_bias
232,224,so,non,sl,cau,yes,no_bias
233,224,so,non,str,cau,no,no_bias
234,224,if,non,sl,eff,yes,no_bias
235,224,if,non,str,eff,no,no_bias
236,224,if,non,str,eff,no,no_bias
237,224,if,non,sl,eff,yes,no_bias
238,224,and,non,sl,,yes,no_bias
239,224,and,non,str,,no,no_bias
240,224,so,non,str,eff,no,no_bias
241,224,so,non,sl,eff,yes,no_bias
242,224,if,ic1,str,eff,no,no_bias
243,224,if,ic1,sl,eff,yes,no_bias
244,224,so,ic2,str,cau,no,no_bias
245,224,so,ic2,sl,cau,yes,no_bias
246,224,so,ic1,str,cau,no,no_bias
247,224,so,ic1,sl,cau,yes,no_bias
248,224,if,ic1,sl,eff,yes,no_bias
249,224,if,ic1,str,eff,no,no_bias
250,224,and,non,sl,,yes,no_bias
251,224,and,non,str,,no,no_bias
252,224,so,ic2,str,eff,yes,no_bias
253,224,so,ic2,sl,eff,no,no_bias
254,224,and,ic2,str,,yes,no_bias
255,224,and,ic2,sl,,no,no_bias
256,224,so,ic2,sl,cau,no,no_bias
257,224,so,ic2,str,cau,yes,no_bias
258,224,and,ic1,str,,no,no_bias
259,224,and,ic1,sl,,yes,no_bias
260,224,and,ic2,sl,,no,no_bias
261,224,and,ic2,str,,yes,no_bias
262,224,if,ic2,sl,eff,yes,no_bias
263,224,if,ic2,str,eff,no,no_bias
264,224,if,ic1,str,eff,no,no_bias
265,224,if,ic1,sl,eff,yes,no_bias
266,224,so,non,sl,cau,yes,no_bias
267,224,so,non,str,cau,no,no_bias
268,224,so,non,sl,eff,yes,no_bias
269,224,so,non,str,eff,no,no_bias
270,224,so,ic1,str,cau,no,no_bias
271,224,so,ic1,sl,cau,yes,no_bias
272,224,if,ic2,sl,eff,yes,no_bias
273,224,if,ic2,str,eff,no,no_bias
274,224,if,ic2,sl,eff,no,no_bias
275,224,if,ic2,str,eff,yes,no_bias
276,224,and,ic2,str,,no,no_bias
277,224,and,ic2,sl,,yes,no_bias
278,224,so,ic1,sl,cau,yes,no_bias
279,224,so,ic1,str,cau,no,no_bias
280,224,if,non,str,eff,no,no_bias
281,224,if,non,sl,eff,yes,no_bias
282,224,and,ic1,sl,,yes,no_bias
283,224,and,ic1,str,,no,no_bias
284,224,and,ic2,str,,yes,no_bias
285,224,and,ic2,sl,,no,no_bias
286,224,if,non,str,eff,no,no_bias
287,224,if,non,sl,eff,yes,no_bias
288,225,if,ic2,sl,eff,no,no_bias
289,225,if,ic2,str,eff,yes,no_bias
290,225,so,ic1,str,eff,no,no_bias
291,225,so,ic1,sl,eff,yes,no_bias
292,225,and,non,sl,,yes,no_bias
293,225,and,non,str,,no,no_bias
294,225,and,ic1,sl,,yes,no_bias
295,225,and,ic1,str,,yes,no_bias
296,225,so,ic2,str,eff,yes,no_bias
297,225,so,ic2,sl,eff,yes,no_bias
298,225,and,non,sl,,yes,no_bias
299,225,and,non,str,,no,no_bias
300,225,if,ic1,str,eff,yes,no_bias
301,225,if,ic1,sl,eff,yes,no_bias
302,225,and,ic1,str,,no,no_bias
303,225,and,ic1,sl,,yes,no_bias
304,225,so,non,sl,cau,yes,no_bias
305,225,so,non,str,cau,no,no_bias
306,225,if,non,sl,eff,yes,no_bias
307,225,if,non,str,eff,no,no_bias
308,225,if,non,str,eff,no,no_bias
309,225,if,non,sl,eff,yes,no_bias
310,225,and,non,sl,,yes,no_bias
311,225,and,non,str,,no,no_bias
312,225,so,non,str,eff,no,no_bias
313,225,so,non,sl,eff,yes,no_bias
314,225,if,ic1,str,eff,yes,no_bias
315,225,if,ic1,sl,eff,yes,no_bias
316,225,so,ic2,str,cau,yes,no_bias
317,225,so,ic2,sl,cau,no,no_bias
318,225,so,ic1,str,cau,no,no_bias
319,225,so,ic1,sl,cau,yes,no_bias
320,225,if,ic1,sl,eff,yes,no_bias
321,225,if,ic1,str,eff,no,no_bias
322,225,and,non,sl,,yes,no_bias
323,225,and,non,str,,no,no_bias
324,225,so,ic2,str,eff,yes,no_bias
325,225,so,ic2,sl,eff,no,no_bias
326,225,and,ic2,str,,yes,no_bias
327,225,and,ic2,sl,,no,no_bias
328,225,so,ic2,sl,cau,yes,no_bias
329,225,so,ic2,str,cau,no,no_bias
330,225,and,ic1,str,,yes,no_bias
331,225,and,ic1,sl,,no,no_bias
332,225,and,ic2,sl,,yes,no_bias
333,225,and,ic2,str,,no,no_bias
334,225,if,ic2,sl,eff,yes,no_bias
335,225,if,ic2,str,eff,no,no_bias
336,225,if,ic1,str,eff,yes,no_bias
337,225,if,ic1,sl,eff,yes,no_bias
338,225,so,non,sl,cau,yes,no_bias
339,225,so,non,str,cau,no,no_bias
340,225,so,non,sl,eff,yes,no_bias
341,225,so,non,str,eff,no,no_bias
342,225,so,ic1,str,cau,yes,no_bias
343,225,so,ic1,sl,cau,no,no_bias
344,225,if,ic2,sl,eff,yes,no_bias
345,225,if,ic2,str,eff,no,no_bias
346,225,if,ic2,sl,eff,yes,no_bias
347,225,if,ic2,str,eff,no,no_bias
348,225,and,ic2,str,,no,no_bias
349,225,and,ic2,sl,,yes,no_bias
350,225,so,ic1,sl,cau,yes,no_bias
351,225,so,ic1,str,cau,no,no_bias
352,225,if,non,str,eff,no,no_bias
353,225,if,non,sl,eff,yes,no_bias
354,225,and,ic1,sl,,yes,no_bias
355,225,and,ic1,str,,no,no_bias
356,225,and,ic2,str,,yes,no_bias
357,225,and,ic2,sl,,no,no_bias
358,225,if,non,str,eff,yes,no_bias
359,225,if,non,sl,eff,no,no_bias
360,106,if,ic2,sl,eff,no,no_bias
361,106,if,ic2,str,eff,yes,no_bias
362,106,so,ic1,str,eff,yes,no_bias
363,106,so,ic1,sl,eff,no,no_bias
364,106,and,non,sl,,yes,no_bias
365,106,and,non,str,,no,no_bias
366,106,and,ic1,sl,,yes,no_bias
367,106,and,ic1,str,,no,no_bias
368,106,so,ic2,str,eff,no,no_bias
369,106,so,ic2,sl,eff,yes,no_bias
370,106,and,non,sl,,no,no_bias
371,106,and,non,str,,yes,no_bias
372,106,if,ic1,str,eff,yes,no_bias
373,106,if,ic1,sl,eff,no,no_bias
374,106,and,ic1,str,,no,no_bias
375,106,and,ic1,sl,,yes,no_bias
376,106,so,non,sl,cau,yes,no_bias
377,106,so,non,str,cau,no,no_bias
378,106,if,non,sl,eff,yes,no_bias
379,106,if,non,str,eff,no,no_bias
380,106,if,non,str,eff,no,no_bias
381,106,if,non,sl,eff,yes,no_bias
382,106,and,non,sl,,no,no_bias
383,106,and,non,str,,yes,no_bias
384,106,so,non,str,eff,no,no_bias
385,106,so,non,sl,eff,yes,no_bias
386,106,if,ic1,str,eff,no,no_bias
387,106,if,ic1,sl,eff,yes,no_bias
388,106,so,ic2,str,cau,yes,no_bias
389,106,so,ic2,sl,cau,no,no_bias
390,106,so,ic1,str,cau,no,no_bias
391,106,so,ic1,sl,cau,yes,no_bias
392,106,if,ic1,sl,eff,no,no_bias
393,106,if,ic1,str,eff,no,no_bias
394,106,and,non,sl,,no,no_bias
395,106,and,non,str,,yes,no_bias
396,106,so,ic2,str,eff,yes,no_bias
397,106,so,ic2,sl,eff,no,no_bias
398,106,and,ic2,str,,no,no_bias
399,106,and,ic2,sl,,yes,no_bias
400,106,so,ic2,sl,cau,yes,no_bias
401,106,so,ic2,str,cau,no,no_bias
402,106,and,ic1,str,,no,no_bias
403,106,and,ic1,sl,,yes,no_bias
404,106,and,ic2,sl,,yes,no_bias
405,106,and,ic2,str,,no,no_bias
406,106,if,ic2,sl,eff,yes,no_bias
407,106,if,ic2,str,eff,no,no_bias
408,106,if,ic1,str,eff,no,no_bias
409,106,if,ic1,sl,eff,yes,no_bias
410,106,so,non,sl,cau,yes,no_bias
411,106,so,non,str,cau,no,no_bias
412,106,so,non,sl,eff,yes,no_bias
413,106,so,non,str,eff,no,no_bias
414,106,so,ic1,str,cau,no,no_bias
415,106,so,ic1,sl,cau,yes,no_bias
416,106,if,ic2,sl,eff,no,no_bias
417,106,if,ic2,str,eff,yes,no_bias
418,106,if,ic2,sl,eff,no,no_bias
419,106,if,ic2,str,eff,yes,no_bias
420,106,and,ic2,str,,no,no_bias
421,106,and,ic2,sl,,yes,no_bias
422,106,so,ic1,sl,cau,yes,no_bias
423,106,so,ic1,str,cau,no,no_bias
424,106,if,non,str,eff,no,no_bias
425,106,if,non,sl,eff,yes,no_bias
426,106,and,ic1,sl,,yes,no_bias
427,106,and,ic1,str,,no,no_bias
428,106,and,ic2,str,,yes,no_bias
429,106,and,ic2,sl,,no,no_bias
430,106,if,non,str,eff,no,no_bias
431,106,if,non,sl,eff,yes,no_bias
432,107,if,ic2,sl,eff,yes,no_bias
433,107,if,ic2,str,eff,yes,no_bias
434,107,so,ic1,str,eff,yes,no_bias
435,107,so,ic1,sl,eff,no,no_bias
436,107,and,non,sl,,yes,no_bias
437,107,and,non,str,,no,no_bias
438,107,and,ic1,sl,,no,no_bias
439,107,and,ic1,str,,yes,no_bias
440,107,so,ic2,str,eff,no,no_bias
441,107,so,ic2,sl,eff,yes,no_bias
442,107,and,non,sl,,yes,no_bias
443,107,and,non,str,,no,no_bias
444,107,if,ic1,str,eff,no,no_bias
445,107,if,ic1,sl,eff,yes,no_bias
446,107,and,ic1,str,,no,no_bias
447,107,and,ic1,sl,,yes,no_bias
448,107,so,non,sl,cau,no,no_bias
449,107,so,non,str,cau,yes,no_bias
450,107,if,non,sl,eff,yes,no_bias
451,107,if,non,str,eff,yes,no_bias
452,107,if,non,str,eff,no,no_bias
453,107,if,non,sl,eff,yes,no_bias
454,107,and,non,sl,,yes,no_bias
455,107,and,non,str,,yes,no_bias
456,107,so,non,str,eff,no,no_bias
457,107,so,non,sl,eff,yes,no_bias
458,107,if,ic1,str,eff,yes,no_bias
459,107,if,ic1,sl,eff,yes,no_bias
460,107,so,ic2,str,cau,yes,no_bias
461,107,so,ic2,sl,cau,yes,no_bias
462,107,so,ic1,str,cau,no,no_bias
463,107,so,ic1,sl,cau,yes,no_bias
464,107,if,ic1,sl,eff,yes,no_bias
465,107,if,ic1,str,eff,yes,no_bias
466,107,and,non,sl,,yes,no_bias
467,107,and,non,str,,yes,no_bias
468,107,so,ic2,str,eff,yes,no_bias
469,107,so,ic2,sl,eff,no,no_bias
470,107,and,ic2,str,,yes,no_bias
471,107,and,ic2,sl,,yes,no_bias
472,107,so,ic2,sl,cau,yes,no_bias
473,107,so,ic2,str,cau,yes,no_bias
474,107,and,ic1,str,,no,no_bias
475,107,and,ic1,sl,,yes,no_bias
476,107,and,ic2,sl,,yes,no_bias
477,107,and,ic2,str,,yes,no_bias
478,107,if,ic2,sl,eff,yes,no_bias
479,107,if,ic2,str,eff,no,no_bias
480,107,if,ic1,str,eff,no,no_bias
481,107,if,ic1,sl,eff,yes,no_bias
482,107,so,non,sl,cau,yes,no_bias
483,107,so,non,str,cau,no,no_bias
484,107,so,non,sl,eff,yes,no_bias
485,107,so,non,str,eff,no,no_bias
486,107,so,ic1,str,cau,no,no_bias
487,107,so,ic1,sl,cau,yes,no_bias
488,107,if,ic2,sl,eff,yes,no_bias
489,107,if,ic2,str,eff,yes,no_bias
490,107,if,ic2,sl,eff,yes,no_bias
491,107,if,ic2,str,eff,yes,no_bias
492,107,and,ic2,str,,no,no_bias
493,107,and,ic2,sl,,yes,no_bias
494,107,so,ic1,sl,cau,yes,no_bias
495,107,so,ic1,str,cau,no,no_bias
496,107,if,non,str,eff,no,no_bias
497,107,if,non,sl,eff,yes,no_bias
498,107,and,ic1,sl,,yes,no_bias
499,107,and,ic1,str,,no,no_bias
500,107,and,ic2,str,,yes,no_bias
501,107,and,ic2,sl,,yes,no_bias
502,107,if,non,str,eff,yes,no_bias
503,107,if,non,sl,eff,yes,no_bias
504,108,if,ic2,sl,eff,yes,no_bias
505,108,if,ic2,str,eff,no,no_bias
506,108,so,ic1,str,eff,yes,no_bias
507,108,so,ic1,sl,eff,no,no_bias
508,108,and,non,sl,,yes,no_bias
509,108,and,non,str,,no,no_bias
510,108,and,ic1,sl,,yes,no_bias
511,108,and,ic1,str,,no,no_bias
512,108,so,ic2,str,eff,no,no_bias
513,108,so,ic2,sl,eff,yes,no_bias
514,108,and,non,sl,,yes,no_bias
515,108,and,non,str,,no,no_bias
516,108,if,ic1,str,eff,no,no_bias
517,108,if,ic1,sl,eff,yes,no_bias
518,108,and,ic1,str,,no,no_bias
519,108,and,ic1,sl,,yes,no_bias
520,108,so,non,sl,cau,yes,no_bias
521,108,so,non,str,cau,no,no_bias
522,108,if,non,sl,eff,yes,no_bias
523,108,if,non,str,eff,no,no_bias
524,108,if,non,str,eff,no,no_bias
525,108,if,non,sl,eff,yes,no_bias
526,108,and,non,sl,,yes,no_bias
527,108,and,non,str,,no,no_bias
528,108,so,non,str,eff,no,no_bias
529,108,so,non,sl,eff,yes,no_bias
530,108,if,ic1,str,eff,no,no_bias
531,108,if,ic1,sl,eff,yes,no_bias
532,108,so,ic2,str,cau,yes,no_bias
533,108,so,ic2,sl,cau,no,no_bias
534,108,so,ic1,str,cau,no,no_bias
535,108,so,ic1,sl,cau,yes,no_bias
536,108,if,ic1,sl,eff,yes,no_bias
537,108,if,ic1,str,eff,no,no_bias
538,108,and,non,sl,,yes,no_bias
539,108,and,non,str,,no,no_bias
540,108,so,ic2,str,eff,no,no_bias
541,108,so,ic2,sl,eff,yes,no_bias
542,108,and,ic2,str,,yes,no_bias
543,108,and,ic2,sl,,no,no_bias
544,108,so,ic2,sl,cau,yes,no_bias
545,108,so,ic2,str,cau,no,no_bias
546,108,and,ic1,str,,no,no_bias
547,108,and,ic1,sl,,yes,no_bias
548,108,and,ic2,sl,,yes,no_bias
549,108,and,ic2,str,,no,no_bias
550,108,if,ic2,sl,eff,yes,no_bias
551,108,if,ic2,str,eff,no,no_bias
552,108,if,ic1,str,eff,no,no_bias
553,108,if,ic1,sl,eff,yes,no_bias
554,108,so,non,sl,cau,yes,no_bias
555,108,so,non,str,cau,no,no_bias
556,108,so,non,sl,eff,yes,no_bias
557,108,so,non,str,eff,no,no_bias
558,108,so,ic1,str,cau,no,no_bias
559,108,so,ic1,sl,cau,yes,no_bias
560,108,if,ic2,sl,eff,no,no_bias
561,108,if,ic2,str,eff,yes,no_bias
562,108,if,ic2,sl,eff,yes,no_bias
563,108,if,ic2,str,eff,no,no_bias
564,108,and,ic2,str,,no,no_bias
565,108,and,ic2,sl,,yes,no_bias
566,108,so,ic1,sl,cau,yes,no_bias
567,108,so,ic1,str,cau,no,no_bias
568,108,if,non,str,eff,no,no_bias
569,108,if,non,sl,eff,yes,no_bias
570,108,and,ic1,sl,,yes,no_bias
571,108,and,ic1,str,,no,no_bias
572,108,and,ic2,str,,no,no_bias
573,108,and,ic2,sl,,yes,no_bias
574,108,if,non,str,eff,no,no_bias
575,108,if,non,sl,eff,yes,no_bias
576,109,if,ic2,sl,eff,no,no_bias
577,109,if,ic2,str,eff,yes,no_bias
578,109,so,ic1,str,eff,no,no_bias
579,109,so,ic1,sl,eff,yes,no_bias
580,109,and,non,sl,,yes,no_bias
581,109,and,non,str,,no,no_bias
582,109,and,ic1,sl,,yes,no_bias
583,109,and,ic1,str,,no,no_bias
584,109,so,ic2,str,eff,no,no_bias
585,109,so,ic2,sl,eff,yes,no_bias
586,109,and,non,sl,,yes,no_bias
587,109,and,non,str,,no,no_bias
588,109,if,ic1,str,eff,no,no_bias
589,109,if,ic1,sl,eff,yes,no_bias
590,109,and,ic1,str,,no,no_bias
591,109,and,ic1,sl,,yes,no_bias
592,109,so,non,sl,cau,yes,no_bias
593,109,so,non,str,cau,no,no_bias
594,109,if,non,sl,eff,yes,no_bias
595,109,if,non,str,eff,no,no_bias
596,109,if,non,str,eff,no,no_bias
597,109,if,non,sl,eff,yes,no_bias
598,109,and,non,sl,,yes,no_bias
599,109,and,non,str,,no,no_bias
600,109,so,non,str,eff,no,no_bias
601,109,so,non,sl,eff,yes,no_bias
602,109,if,ic1,str,eff,no,no_bias
603,109,if,ic1,sl,eff,yes,no_bias
604,109,so,ic2,str,cau,yes,no_bias
605,109,so,ic2,sl,cau,no,no_bias
606,109,so,ic1,str,cau,no,no_bias
607,109,so,ic1,sl,cau,yes,no_bias
608,109,if,ic1,sl,eff,yes,no_bias
609,109,if,ic1,str,eff,no,no_bias
610,109,and,non,sl,,yes,no_bias
611,109,and,non,str,,no,no_bias
612,109,so,ic2,str,eff,yes,no_bias
613,109,so,ic2,sl,eff,yes,no_bias
614,109,and,ic2,str,,no,no_bias
615,109,and,ic2,sl,,yes,no_bias
616,109,so,ic2,sl,cau,yes,no_bias
617,109,so,ic2,str,cau,no,no_bias
618,109,and,ic1,str,,no,no_bias
619,109,and,ic1,sl,,yes,no_bias
620,109,and,ic2,sl,,yes,no_bias
621,109,and,ic2,str,,no,no_bias
622,109,if,ic2,sl,eff,yes,no_bias
623,109,if,ic2,str,eff,no,no_bias
624,109,if,ic1,str,eff,no,no_bias
625,109,if,ic1,sl,eff,yes,no_bias
626,109,so,non,sl,cau,yes,no_bias
627,109,so,non,str,cau,no,no_bias
628,109,so,non,sl,eff,yes,no_bias
629,109,so,non,str,eff,no,no_bias
630,109,so,ic1,str,cau,yes,no_bias
631,109,so,ic1,sl,cau,no,no_bias
632,109,if,ic2,sl,eff,yes,no_bias
633,109,if,ic2,str,eff,no,no_bias
634,109,if,ic2,sl,eff,no,no_bias
635,109,if,ic2,str,eff,yes,no_bias
636,109,and,ic2,str,,no,no_bias
637,109,and,ic2,sl,,yes,no_bias
638,109,so,ic1,sl,cau,yes,no_bias
639,109,so,ic1,str,cau,no,no_bias
